,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1685,Andrey,93787,Coritiba,MEI,14.533333333333333,5.0,Ceará,mandante,4.125,9.329166666666666
1686,Marquinhos Gabriel,68954,Goiás,MEI,10.700000000000001,0.95,Botafogo,mandante,4.423076923076923,7.561538461538462
1687,Cano,79631,Fluminense,ATA,10.342857142857142,2.1769230769230767,Juventude,mandante,4.384615384615385,7.363736263736263
1688,Joaquim,109563,Cuiabá,ZAG,7.4,3.0125,América-MG,mandante,6.515384615384615,6.957692307692308
1689,Luiz Felipe,79035,Santos,ZAG,10.133333333333333,-0.5,Athletico-PR,mandante,3.75,6.941666666666666
1690,Heitor,104649,Internacional,LAT,10.05,4.9,Bragantino,mandante,3.7916666666666665,6.920833333333333
1691,Luan,86759,Santos,MEI,9.6,0.5,Athletico-PR,mandante,3.75,6.675
1692,Savarino,98672,Atlético-MG,ATA,10.450000000000001,-0.1,Palmeiras,mandante,2.6833333333333336,6.566666666666667
1693,João Carlos,69010,Cuiabá,GOL,0.0,1.0,América-MG,mandante,6.515384615384615,6.515384615384615
1694,Sasha,68991,Fortaleza,MEI,8.6,4.0,Flamengo,mandante,3.9642857142857144,6.282142857142857
1695,Brítez,101995,Fortaleza,LAT,8.4,5.6000000000000005,Flamengo,mandante,3.9642857142857144,6.182142857142857
1696,Toró,101885,São Paulo,ATA,7.9,0.0,Avaí,mandante,4.333333333333333,6.116666666666667
1697,Gabriel ,70449,Coritiba,GOL,8.0,0.0,Ceará,mandante,4.125,6.0625
1698,Calleri,89840,São Paulo,ATA,7.469230769230768,4.3,Avaí,mandante,4.333333333333333,5.901282051282051
1699,Luiz Henrique,109282,Fluminense,ATA,7.3428571428571425,5.3999999999999995,Juventude,mandante,4.384615384615385,5.863736263736264
1700,Juninho Capixaba,94968,Fortaleza,LAT,7.588888888888889,5.049999999999999,Flamengo,mandante,3.9642857142857144,5.776587301587302
1701,Igor Paixão,104530,Coritiba,ATA,7.324999999999999,5.511111111111111,Ceará,mandante,4.125,5.725
1702,Igor Rabello,89493,Atlético-MG,ZAG,8.75,3.866666666666667,Palmeiras,mandante,2.6833333333333336,5.716666666666667
1703,Guto Ferreira,37245,Coritiba,TEC,7.1899999999999995,2.6466666666666665,Ceará,mandante,4.125,5.6575
1704,António Oliveira,111578,Cuiabá,TEC,4.548749999999999,2.442222222222222,América-MG,mandante,6.515384615384615,5.532067307692307
1705,Yago Pikachu,80196,Fortaleza,MEI,6.985714285714286,2.8000000000000003,Flamengo,mandante,3.9642857142857144,5.475
1706,João Lucas,104257,Cuiabá,LAT,4.381818181818184,1.9000000000000001,América-MG,mandante,6.515384615384615,5.448601398601399
1707,Rodrigo Nestor,106822,São Paulo,MEI,6.512499999999999,2.0999999999999996,Avaí,mandante,4.333333333333333,5.422916666666666
1708,Felipe Alves,72372,São Paulo,GOL,6.5,5.0,Avaí,mandante,4.333333333333333,5.416666666666666
1709,Pedro Raul,98225,Goiás,ATA,6.3500000000000005,7.166666666666667,Botafogo,mandante,4.423076923076923,5.386538461538462
1710,Walter,51413,Cuiabá,GOL,4.2250000000000005,3.5818181818181825,América-MG,mandante,6.515384615384615,5.370192307692308
