,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Atlético-MG,Goiás,1.26,5.6,10.86,79.36507936507937,9.208103130755065,17.857142857142858
1,Fluminense,Coritiba,1.49,4.19,6.77,67.11409395973155,14.771048744460858,23.86634844868735
2,Juventude,Botafogo,2.34,3.14,3.21,42.73504273504274,31.15264797507788,31.84713375796178
3,Palmeiras,Flamengo,2.3,3.39,3.12,43.47826086956522,32.05128205128205,29.49852507374631
4,Athletico-PR,América-MG,1.83,3.4,4.46,54.64480874316939,22.421524663677133,29.411764705882355
5,Atlético-GO,Cuiabá,2.07,3.11,3.99,48.309178743961354,25.062656641604008,32.154340836012864
6,Bragantino,Ceará,1.89,3.39,4.28,52.91005291005292,23.364485981308412,29.49852507374631
7,Fortaleza,Corinthians,2.14,3.01,3.93,46.728971962616825,25.44529262086514,33.222591362126245
8,Santos,São Paulo,2.52,3.09,3.04,39.682539682539684,32.89473684210527,32.36245954692557
9,Avaí,Internacional,3.05,2.99,2.46,32.786885245901644,40.65040650406504,33.44481605351171
