,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Corinthians,71.3175,1,79.53,2,63.105,1
1,Coritiba,68.78166666666667,2,90.72666666666667,1,46.83666666666667,9
2,Atlético-MG,66.39375000000001,3,72.4625,7,60.325,2
3,Palmeiras,63.57124999999999,4,75.98249999999999,5,51.16,4
4,Flamengo,61.28999999999999,5,73.19999999999999,6,49.379999999999995,7
5,Santos,59.528333333333336,6,77.05666666666667,4,42.00000000000001,12
6,São Paulo,55.07333333333334,7,71.2,8,38.946666666666665,14
7,Botafogo,54.235,8,49.196666666666665,14,59.27333333333333,3
8,Bragantino,53.69,9,62.873333333333335,9,44.50666666666667,10
9,Internacional,52.29,10,56.580000000000005,10,47.99999999999999,8
10,América-MG,51.03000000000001,11,77.94500000000002,3,24.115,20
11,Avaí,50.167500000000004,12,50.86500000000001,12,49.470000000000006,6
12,Fluminense,46.98333333333333,13,49.85666666666666,13,44.10999999999999,11
13,Cuiabá,43.61,14,37.47500000000001,16,49.74499999999999,5
14,Athletico-PR,43.248333333333335,15,55.79,11,30.706666666666667,18
15,Goiás,41.08333333333333,16,44.07333333333333,15,38.093333333333334,15
16,Ceará,36.310833333333335,17,31.766666666666666,20,40.855,13
17,Juventude,35.618333333333325,18,36.32666666666666,17,34.91,16
18,Atlético-GO,34.388333333333335,19,35.78333333333333,18,32.99333333333333,17
19,Fortaleza,29.91833333333333,20,32.019999999999996,19,27.816666666666666,19
