,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Goiás,22.0,Avaí,1.4795913692228844,0.9482588162627751,49.44,24.02,26.54,29.74,13.7,9.03,38.769999999999996,22.729999999999997,61.49999999999999
1,Cuiabá,22.0,Juventude,1.5102386177807603,0.9649888111751197,50.02,23.91,26.07,29.53,13.76,8.45,37.980000000000004,22.21,60.190000000000005
2,Ceará,22.0,Fortaleza,1.1577283786645383,1.0467762432374614,38.4,32.45,29.15,24.25,20.27,11.11,35.36,31.38,66.74
3,Corinthians,22.0,Palmeiras,1.1076577596957167,1.3597622048382376,30.38,42.52,27.1,16.79,24.95,8.46,25.25,33.41,58.66
4,Botafogo,22.0,Atlético-GO,1.3975869808357464,1.1032808742351696,43.0,29.75,27.25,24.79,16.68,8.31,33.1,24.990000000000002,58.09
5,Coritiba,22.0,Atlético-MG,1.2027606071318917,1.3642345660010964,32.7,40.59,26.72,17.52,22.37,7.52,25.04,29.89,54.93
6,América-MG,22.0,Santos,1.324513972561101,1.2396940704688941,38.59,34.31,27.09,20.97,18.3,7.76,28.729999999999997,26.060000000000002,54.79
7,Internacional,22.0,Fluminense,1.4249071615619635,1.2770308566686595,40.38,34.02,25.6,20.82,17.34,6.59,27.41,23.93,51.34
8,São Paulo,22.0,Bragantino,1.474844400087754,1.3745345928043031,39.92,34.71,25.36,19.44,16.96,5.83,25.270000000000003,22.79,48.06
9,Flamengo,22.0,Athletico-PR,1.8540445404501336,1.60186495741669,44.6,33.07,22.32,17.54,12.29,3.1,20.64,15.389999999999999,36.03
