,clube,ranking_clube,fase
0,Palmeiras,1,86.67
1,Athletico-PR,3,66.67
2,Fluminense,8,60.0
3,Ceará,12,60.0
4,Goiás,13,53.33
5,Coritiba,5,53.33
6,Atlético-MG,4,53.33
7,Juventude,19,46.67
8,Atlético-GO,18,46.67
9,Internacional,7,46.67
10,São Paulo,6,46.67
11,Flamengo,14,46.67
12,Corinthians,2,40.0
13,Bragantino,11,33.33
14,América-MG,9,33.33
15,Fortaleza,20,33.33
16,Botafogo,15,26.67
17,Cuiabá,17,26.67
18,Santos,10,20.0
19,Avaí,16,6.67
