,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Athletico-PR,29.0,Juventude,1.629066291844777,0.9691546658770083,53.01,22.25,24.75,30.76,11.75,7.22,37.980000000000004,18.97,56.95
1,Goiás,29.0,Fortaleza,1.2339638924886924,1.0256761543915187,41.04,30.61,28.35,25.55,18.57,10.27,35.82,28.84,64.66
2,Corinthians,29.0,Cuiabá,1.391537543917341,1.0764455364973364,43.95,28.64,27.41,25.05,16.28,8.6,33.65,24.880000000000003,58.53
3,Botafogo,29.0,Palmeiras,1.168256364259868,1.241902074073082,34.58,37.78,27.64,19.97,22.4,9.29,29.259999999999998,31.689999999999998,60.949999999999996
4,Avaí,29.0,Atlético-GO,1.4455117761297624,1.1769833134887648,42.55,31.2,26.26,22.91,16.68,7.48,30.39,24.16,54.55
5,Ceará,29.0,América-MG,1.45007279090759,1.219255126590703,42.71,32.13,25.16,22.93,16.46,6.64,29.57,23.1,52.67
6,Atlético-MG,29.0,Fluminense,1.4611545356723905,1.3361617127831686,40.52,34.71,24.78,20.3,17.05,6.17,26.47,23.22,49.69
7,Internacional,29.0,Santos,1.5535493255495938,1.3472835135108703,41.98,33.38,24.63,20.12,15.8,5.52,25.64,21.32,46.96
8,São Paulo,29.0,Coritiba,1.5942084524380866,1.3712514874251474,42.82,33.25,23.94,20.42,15.38,4.92,25.340000000000003,20.3,45.64
9,Flamengo,29.0,Bragantino,1.7647665866353002,1.6125351757518738,42.42,35.24,22.34,16.91,13.84,3.49,20.4,17.33,37.73
