,clube,xG_mean,xG_total
0,Palmeiras,1.7744461518787045,35.4889230375741
1,Flamengo,1.7566883975162704,35.13376795032542
2,Atlético-MG,1.5211625514682,31.944413580832215
3,Bragantino,1.4377538057150618,30.192829920016308
4,Internacional,1.4326136854203644,30.084887393827636
5,Fluminense,1.3492735712874295,28.334744997036033
6,Atlético-GO,1.3190755189963927,27.700585898924245
7,Fortaleza,1.3100671516470488,27.511410184588023
8,Coritiba,1.3093428616332023,27.496200094297254
9,Santos,1.2916497808430598,27.124645397704253
10,São Paulo,1.2434621131182968,26.112704375484242
11,América-MG,1.2338289667943816,25.910408302682026
12,Ceará,1.1775821709047034,24.729225588998766
13,Juventude,1.1244108359416023,23.612627554773624
14,Botafogo,1.10920205884163,23.293243235674243
15,Athletico-PR,1.0720311484235412,22.512654116894357
16,Goiás,1.0696055439171748,22.46171642226067
17,Corinthians,1.0198412687715435,21.416666644202408
18,Avaí,0.9802546000406979,20.585346600854656
19,Cuiabá,0.9775034395462521,20.52757223047129
