,clube,P
0,Palmeiras,82.43568177772684
1,Corinthians,65.71359456441449
2,Internacional,61.21491801316209
3,Fluminense,60.45983861187176
4,Flamengo,55.6079949065169
5,Atlético-MG,55.01132280692429
6,Athletico-PR,53.394408658701735
7,São Paulo,53.14536402765594
8,Bragantino,50.6852999634453
9,Botafogo,50.10523548648875
10,Santos,49.214168390909414
11,Fortaleza,44.07397169938285
12,América-MG,43.397093375343694
13,Coritiba,42.58940307339452
14,Goiás,42.39195693060749
15,Ceará,39.53115990155762
16,Cuiabá,38.042362544122604
17,Atlético-GO,37.35641910214613
18,Avaí,34.25697949847871
19,Juventude,28.939782851914327
