,clube,xP,ranking_xp
0,Flamengo,35.89,1
1,Palmeiras,35.87,2
2,Atlético-MG,33.82,3
3,Fluminense,32.480000000000004,4
4,Internacional,32.35,5
5,São Paulo,29.319999999999997,6
6,Bragantino,28.250000000000004,7
7,Fortaleza,27.639999999999997,8
8,América-MG,27.26,9
9,Corinthians,25.990000000000002,10
10,Atlético-GO,25.32,11
11,Coritiba,25.079999999999995,12
12,Botafogo,24.569999999999997,13
13,Ceará,23.75,14
14,Santos,23.67,15
15,Cuiabá,23.51,16
16,Juventude,20.65,17
17,Avaí,20.15,18
18,Athletico-PR,20.02,19
19,Goiás,16.09,20
