,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Coritiba,Avaí,1.93,3.38,4.07,51.81347150259068,24.570024570024568,29.585798816568047
1,Goiás,Atlético-GO,2.52,3.08,2.97,39.682539682539684,33.67003367003367,32.467532467532465
2,Fluminense,Palmeiras,2.79,3.19,2.64,35.842293906810035,37.878787878787875,31.347962382445143
3,Ceará,Athletico-PR,2.03,3.31,3.77,49.26108374384237,26.525198938992045,30.211480362537763
4,América-MG,Atlético-MG,4.56,3.56,1.79,21.92982456140351,55.865921787709496,28.08988764044944
5,São Paulo,Fortaleza,2.08,3.23,3.71,48.07692307692307,26.954177897574123,30.959752321981426
6,Botafogo,Flamengo,4.65,3.76,1.73,21.50537634408602,57.80346820809249,26.595744680851062
7,Cuiabá,Santos,2.56,2.97,3.02,39.0625,33.11258278145696,33.67003367003367
8,Internacional,Juventude,1.45,4.37,7.1,68.96551724137932,14.084507042253522,22.88329519450801
9,Corinthians,Bragantino,2.1,3.24,3.76,47.61904761904761,26.595744680851062,30.864197530864196
