,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Bragantino,Avaí,1.64,3.85,5.39,60.97560975609756,18.55287569573284,25.97402597402597
1,Fluminense,Ceará,1.75,3.38,5.25,57.14285714285714,19.047619047619047,29.58579881656805
2,Goiás,Athletico-PR,2.87,3.08,2.61,34.84320557491289,38.31417624521073,32.467532467532465
3,Coritiba,Juventude,1.99,3.35,3.9,50.25125628140703,25.64102564102565,29.850746268656717
4,Corinthians,Flamengo,2.88,3.11,2.61,34.72222222222222,38.31417624521073,32.154340836012864
5,Atlético-MG,São Paulo,1.69,3.84,5.04,59.1715976331361,19.84126984126984,26.04166666666667
6,Fortaleza,Palmeiras,3.89,3.35,2.0,25.706940874035986,50.0,29.850746268656717
7,Santos,Atlético-GO,2.01,3.26,3.97,49.751243781094544,25.188916876574307,30.67484662576687
8,Cuiabá,Botafogo,2.38,3.04,3.25,42.01680672268908,30.76923076923077,32.89473684210527
9,Internacional,América-MG,1.7,3.01,4.5,55.0,20.0,25.0
