,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Palmeiras,80.25333333333333,1,79.49166666666666,2,53.59833333333333,6
1,Internacional,66.47333333333334,2,79.855,1,59.09166666666667,2
2,Corinthians,59.31166666666666,3,60.12833333333333,6,41.81833333333333,11
3,Fortaleza,59.05500000000001,4,65.82,4,55.379999999999995,4
4,Flamengo,58.18333333333333,5,74.33,3,44.98166666666666,9
5,Fluminense,56.271666666666675,6,59.76166666666666,7,38.38166666666667,12
6,São Paulo,52.39833333333333,7,44.306666666666665,14,55.635,3
7,Atlético-MG,50.29,8,51.0,11,52.598333333333336,7
8,Santos,49.10833333333334,9,51.725,10,42.72166666666667,10
9,Botafogo,48.69166666666666,10,47.199999999999996,13,63.81833333333333,1
10,América-MG,47.655,11,52.72666666666666,9,54.6,5
11,Athletico-PR,44.76333333333333,12,55.346666666666664,8,33.98166666666666,16
12,Atlético-GO,42.87166666666667,13,39.27166666666667,18,37.90833333333333,13
13,Bragantino,41.43833333333333,14,40.89333333333334,16,34.90833333333333,15
14,Coritiba,40.961666666666666,15,60.26166666666666,5,33.07,17
15,Cuiabá,35.798333333333325,16,49.708333333333336,12,30.924999999999997,18
16,Goiás,34.45499999999999,17,41.255,15,47.4,8
17,Ceará,33.964999999999996,18,37.4,19,37.65666666666666,14
18,Juventude,33.925000000000004,19,39.47333333333333,17,26.470000000000002,20
19,Avaí,31.828333333333337,20,31.459999999999997,20,30.609999999999996,19
