,clube,P
0,Palmeiras,83.03862743606724
1,Corinthians,66.66552560573686
2,Internacional,64.63785362608871
3,Fluminense,63.14148129051167
4,Atlético-MG,55.01747531097392
5,Flamengo,54.15892727154725
6,Botafogo,53.82164016352662
7,Athletico-PR,51.85956110293653
8,São Paulo,50.265118119385036
9,Bragantino,47.515233152701015
10,Santos,46.83748336423425
11,América-MG,45.37237263518806
12,Fortaleza,44.86491231787297
13,Coritiba,44.012900835768974
14,Goiás,43.39431911657931
15,Atlético-GO,37.27802782632242
16,Ceará,37.088998619738696
17,Cuiabá,37.03469295071144
18,Avaí,36.5824306344905
19,Juventude,27.97931704631353
