,clube,P
0,Palmeiras,81.37778889590228
1,Corinthians,63.87522572478783
2,Internacional,62.694777839606374
3,Fluminense,58.781012023139176
4,Flamengo,57.105123496009156
5,Atlético-MG,54.936614665340485
6,São Paulo,53.9425401937248
7,Athletico-PR,52.40957724773875
8,Botafogo,51.17187528525833
9,Bragantino,49.176725455992205
10,Santos,47.62238323325743
11,Fortaleza,44.85432637370888
12,Goiás,43.08763331265925
13,América-MG,41.5432886218869
14,Ceará,40.871285682516515
15,Coritiba,40.62801058138289
16,Atlético-GO,38.59709204823365
17,Cuiabá,36.03933456765248
18,Avaí,35.32686121201269
19,Juventude,29.953404987063056
