,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,83.14041666666667,1,82.30833333333334,1,83.9725,1
1,Corinthians,67.209,2,69.81800000000001,3,64.6,2
2,Atlético-MG,64.77125,3,69.545,4,59.997499999999995,3
3,Coritiba,57.065333333333335,4,72.32666666666667,2,41.804,13
4,São Paulo,53.86583333333333,5,68.53,5,39.20166666666666,16
5,Santos,52.576833333333326,6,61.801666666666655,7,43.352,11
6,Flamengo,51.88458333333334,7,64.2825,6,39.48666666666667,14
7,Internacional,51.65116666666667,8,56.574,9,46.72833333333333,6
8,Athletico-PR,50.9525,9,53.459999999999994,10,48.445,5
9,Bragantino,49.70100000000001,10,56.72800000000002,8,42.674,12
10,Fluminense,48.031333333333336,11,51.946666666666665,12,44.116,10
11,Botafogo,44.98733333333334,12,44.028000000000006,14,45.946666666666665,8
12,Atlético-GO,44.043499999999995,13,43.964999999999996,15,44.122,9
13,Ceará,43.528333333333336,14,35.879999999999995,19,51.17666666666667,4
14,Avaí,43.361999999999995,15,47.434,13,39.29,15
15,Cuiabá,40.18899999999999,16,33.99199999999999,20,46.386,7
16,América-MG,39.95533333333333,17,52.12399999999999,11,27.78666666666666,20
17,Goiás,38.54833333333333,18,39.25,18,37.84666666666667,17
18,Juventude,37.995666666666665,19,40.27333333333333,16,35.718,18
19,Fortaleza,36.23583333333333,20,40.23666666666667,17,32.235,19
