,clube,xP,ranking_xp
0,Palmeiras,36.34,1
1,Atlético-MG,35.870000000000005,2
2,Flamengo,33.48,3
3,Internacional,30.669999999999995,4
4,Fortaleza,28.890000000000004,5
5,Fluminense,28.47,6
6,São Paulo,27.78,7
7,Bragantino,27.759999999999998,8
8,Atlético-GO,26.270000000000003,9
9,Corinthians,24.900000000000002,10
10,Coritiba,24.76,11
11,América-MG,24.55,12
12,Cuiabá,24.169999999999998,13
13,Ceará,24.09,14
14,Santos,23.55,15
15,Botafogo,22.55,16
16,Juventude,22.46,17
17,Athletico-PR,20.35,18
18,Avaí,19.93,19
19,Goiás,19.2,20
