,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,G_per_match,xG_per_shot,shots_per_goal,clube
0,83257,Gabriel,262,8.505493187516795,63,21,11,0.40502348511984737,0.5238095238095238,0.13500782837328246,5.7272727272727275,Flamengo
1,79631,Cano,266,10.086445394190427,78,25,16,0.4034578157676171,0.64,0.12931340248962087,4.875,Fluminense
2,98225,Pedro Raul,290,7.951855432349311,63,22,15,0.361447974197696,0.6818181818181818,0.1262199274976081,4.2,Goiás
3,101715,Alerrandro,280,5.029312575499875,40,14,6,0.3592366125357054,0.42857142857142855,0.1257328143874969,6.666666666666667,Bragantino
4,89840,Calleri,276,8.574179647278175,66,24,12,0.3572574853032573,0.5,0.1299118128375481,5.5,São Paulo
5,94583,Pedro,262,5.431767424155518,40,16,10,0.33948546400971985,0.625,0.13579418560388795,4.0,Flamengo
6,53865,Léo Gamalho,294,3.883193304434328,27,12,7,0.323599442036194,0.5833333333333334,0.14382197423830845,3.857142857142857,Coritiba
7,109497,Marcos Leonardo,277,7.621421151800133,65,24,9,0.31755921465833886,0.375,0.11725263310461743,7.222222222222222,Santos
8,91607,Rony,275,6.648948492499602,52,21,9,0.3166165948809334,0.42857142857142855,0.1278643940865308,5.777777777777778,Palmeiras
9,39148,Hulk,282,7.133901520022471,90,23,11,0.3101696313053248,0.4782608695652174,0.07926557244469412,8.181818181818182,Atlético-MG
10,94509,Raphael Veiga,275,4.018548354108165,39,13,3,0.30911910416216654,0.23076923076923078,0.10303970138738884,13.0,Palmeiras
11,89898,Róger Guedes,264,7.104403610845119,64,23,8,0.3088871135150052,0.34782608695652173,0.11100630641945498,8.0,Corinthians
12,77544,Jorginho,373,4.190433522845598,31,14,3,0.29931668020325697,0.21428571428571427,0.13517527493050316,10.333333333333334,Atlético-GO
13,108422,Erison,263,5.683711059647772,47,19,7,0.29914268734988275,0.3684210526315789,0.12093002254569728,6.714285714285714,Botafogo
14,90031,Mendoza,354,7.129211558879402,67,24,9,0.2970504816199751,0.375,0.10640614266984182,7.444444444444445,Ceará
15,98219,Alemão,285,4.665565247416749,31,16,7,0.29159782796354683,0.4375,0.150502104755379,4.428571428571429,Internacional
16,101254,Alef Manga,294,6.407143636223485,60,22,5,0.2912338016465221,0.22727272727272727,0.10678572727039141,12.0,Coritiba
17,68773,Henrique Almeida,327,4.65419341433503,40,16,4,0.29088708839593935,0.25,0.11635483535837574,10.0,América-MG
18,108133,Pitta,286,5.805995998283433,50,20,4,0.29029979991417165,0.2,0.11611991996566866,12.5,Juventude
19,87242,Carlos de Pena,285,6.359143976827301,88,22,6,0.28905199894669553,0.2727272727272727,0.07226299973667388,14.666666666666666,Internacional
20,87863,Arrascaeta,262,4.6239291866850225,47,16,2,0.2889955741678139,0.125,0.09838147205712813,23.5,Flamengo
21,80287,Luciano,276,5.9764676240245915,53,21,8,0.2845936963821234,0.38095238095238093,0.11276354007593568,6.625,São Paulo
22,100762,Bissoli,314,6.752345956756862,51,24,13,0.2813477481982026,0.5416666666666666,0.13239894032856592,3.923076923076923,Avaí
23,81161,Léo Baptistão ,277,3.923126530222919,34,14,5,0.28022332358735136,0.35714285714285715,0.11538607441832115,6.8,Santos
24,82766,Wellington Rato,373,6.662514268342748,73,24,7,0.27760476118094785,0.2916666666666667,0.0912673187444212,10.428571428571429,Atlético-GO
25,51772,Everton Ribeiro,262,2.974681491458314,21,11,2,0.270425590132574,0.18181818181818182,0.14165149959325304,10.5,Flamengo
26,104530,Igor Paixão,294,4.026893992463367,46,15,4,0.26845959949755777,0.26666666666666666,0.08754117374920363,11.5,Coritiba
27,73850,Aloísio,327,3.4673876661551364,25,13,2,0.2667221281657797,0.15384615384615385,0.13869550664620545,12.5,América-MG
28,68920,Dudu,275,6.049137392155045,51,23,5,0.2630059735719585,0.21739130434782608,0.11861053710107931,10.2,Palmeiras
29,95799,Artur,280,5.521495566626572,60,21,4,0.26292836031555106,0.19047619047619047,0.09202492611044287,15.0,Bragantino
30,80196,Yago Pikachu,356,3.6783296465223563,31,14,4,0.26273783189445404,0.2857142857142857,0.11865579504910827,7.75,Fortaleza
31,110193,Lázaro,262,3.673258441158184,33,14,4,0.2623756029398703,0.2857142857142857,0.1113108618532783,8.25,Flamengo
32,63289,Edenílson,285,3.370838124687005,29,13,5,0.25929524036053886,0.38461538461538464,0.11623579740300018,5.8,Internacional
33,72583,Pedro Henrique,285,4.620518362542106,41,18,6,0.25669546458567255,0.3333333333333333,0.11269556981810015,6.833333333333333,Internacional
34,90715,Luiz Fernando,373,3.8083677123970707,28,15,0,0.2538911808264714,0.0,0.13601313258560968,inf,Atlético-GO
35,102878,Terans,293,4.816888734481498,61,19,9,0.25352045970955256,0.47368421052631576,0.07896538908986063,6.777777777777778,Athletico-PR
36,109282,Luiz Henrique,266,2.75941048768447,27,11,2,0.25085549888040637,0.18181818181818182,0.10220038843275815,13.5,Fluminense
37,85931,Hyoran,280,3.503381240591611,38,14,3,0.25024151718511506,0.21428571428571427,0.09219424317346345,12.666666666666666,Bragantino
38,79188,Silvio Romero,356,3.238493724597792,21,13,0,0.24911490189213786,0.0,0.15421398688560914,inf,Fortaleza
39,101314,Ademir,282,3.683741986671936,28,15,2,0.2455827991114624,0.13333333333333333,0.131562213809712,14.0,Atlético-MG
40,106822,Rodrigo Nestor,276,4.4201853717392465,43,18,3,0.2455658539855137,0.16666666666666666,0.10279500864509876,14.333333333333334,São Paulo
41,101596,Vitor Gabriel,286,2.6942276602537722,25,11,2,0.24492978729579748,0.18181818181818182,0.10776910641015089,12.5,Juventude
42,104666,Moisés,356,5.829831835797193,49,24,6,0.24290965982488302,0.25,0.11897615991422843,8.166666666666666,Fortaleza
43,87999,Gustavo Scarpa,275,6.000470109687393,91,25,5,0.24001880438749573,0.2,0.06593923197458675,18.2,Palmeiras
44,84674,Lucas Evangelista,280,3.706706110724189,35,16,2,0.2316691319202618,0.125,0.10590588887783398,17.5,Bragantino
45,114802,Vitor Roque,293,3.429522721560128,28,15,4,0.22863484810400853,0.26666666666666666,0.12248295434143315,7.0,Athletico-PR
46,100103,Pedrinho,327,3.360870311849167,32,15,4,0.22405802078994447,0.26666666666666666,0.10502719724528647,8.0,América-MG
47,86485,Keno,282,3.9969683423980777,40,18,2,0.2220537967998932,0.1111111111111111,0.09992420855995195,20.0,Atlético-MG
48,38225,Muriqui,314,2.425859493967268,17,11,4,0.22053268126975165,0.36363636363636365,0.14269761729219224,4.25,Avaí
49,105811,Wesley,275,2.8663626035859653,23,13,1,0.22048943104507426,0.07692307692307693,0.12462446102547675,23.0,Palmeiras
50,90715,Luiz Fernando ,373,2.864672433591091,24,13,0,0.22035941796854547,0.0,0.11936135139962879,inf,Atlético-GO
51,96340,Lima,354,3.2868257756026495,33,15,2,0.21912171837350997,0.13333333333333333,0.09960078107886816,16.5,Ceará
