,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,81.7175,1,82.30833333333334,2,81.12666666666668,1
1,Atlético-MG,66.76174999999999,2,73.526,3,59.997499999999995,3
2,Coritiba,62.629,3,83.454,1,41.804,12
3,Corinthians,62.6275,4,60.65500000000001,7,64.6,2
4,Santos,53.359583333333326,5,61.801666666666655,6,44.9175,8
5,Flamengo,52.68025,6,64.2825,5,41.077999999999996,13
6,São Paulo,52.587083333333325,7,65.9725,4,39.20166666666666,14
7,Fluminense,50.684,8,57.251999999999995,8,44.116,10
8,Internacional,50.41791666666667,9,54.1075,10,46.72833333333333,5
9,Bragantino,49.54025000000001,10,56.72800000000001,9,42.352500000000006,11
10,Athletico-PR,49.141999999999996,11,53.459999999999994,11,44.824,9
11,Botafogo,46.07208333333334,12,46.197500000000005,14,45.946666666666665,7
12,Ceará,44.303999999999995,13,35.879999999999995,18,52.727999999999994,4
13,Avaí,41.662,14,47.434,13,35.89,18
14,Goiás,40.33208333333333,15,42.8175,16,37.846666666666664,16
15,América-MG,40.28999999999999,16,52.12399999999999,12,28.456,20
16,Atlético-GO,40.0,17,43.964999999999996,15,36.035000000000004,17
17,Juventude,39.705416666666665,18,40.27333333333333,17,39.1375,15
18,Cuiabá,38.92925,19,31.4725,20,46.386,6
19,Fortaleza,33.5505,20,34.866,19,32.235,19
