,clube,xP,ranking_xp
0,Palmeiras,34.22,1
1,Atlético-MG,32.37,2
2,Flamengo,31.099999999999998,3
3,Fluminense,30.11,4
4,Fortaleza,29.72,5
5,Internacional,28.11,6
6,Atlético-GO,27.519999999999996,7
7,São Paulo,27.369999999999997,8
8,Bragantino,26.509999999999994,9
9,Coritiba,26.35,10
10,América-MG,24.990000000000002,11
11,Ceará,24.529999999999998,12
12,Santos,24.100000000000005,13
13,Corinthians,23.25,14
14,Botafogo,23.18,15
15,Cuiabá,22.469999999999995,16
16,Athletico-PR,22.039999999999996,17
17,Juventude,21.970000000000002,18
18,Avaí,21.63,19
19,Goiás,18.26,20
