,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,70.70517857142858,1,75.63785714285714,2,65.7725,1
1,Flamengo,62.995714285714286,2,81.765,1,44.22642857142858,10
2,Atlético-MG,61.940384615384616,3,64.1,6,59.78076923076924,2
3,Internacional,59.63059523809524,4,69.66333333333334,3,49.597857142857144,3
4,Corinthians,56.83576923076923,5,66.88076923076923,4,46.79076923076923,8
5,Fluminense,53.38903846153847,6,64.74500000000002,5,42.03307692307692,13
6,Athletico-PR,52.74019230769231,7,57.58538461538462,11,47.895,5
7,Bragantino,52.4989423076923,8,59.24538461538461,9,45.7525,9
8,Santos,52.15923076923077,9,62.85846153846153,8,41.46,14
9,Coritiba,50.976666666666674,10,63.40000000000001,7,38.55333333333333,16
10,Fortaleza,50.78970238095238,11,53.84583333333334,13,47.733571428571416,6
11,São Paulo,50.58337912087913,12,57.72461538461539,10,43.44214285714287,11
12,Botafogo,49.63401098901098,13,49.91571428571427,14,49.35230769230769,4
13,América-MG,48.10118131868131,14,57.17928571428571,12,39.02307692307692,15
14,Goiás,44.7096978021978,15,47.00153846153846,15,42.417857142857144,12
15,Ceará,43.14419871794871,16,39.099230769230765,20,47.189166666666665,7
16,Cuiabá,41.1525,17,46.89000000000001,16,35.415000000000006,18
17,Avaí,39.67321428571428,18,44.09142857142857,17,35.254999999999995,19
18,Atlético-GO,38.99101648351648,19,41.17357142857143,19,36.808461538461536,17
19,Juventude,37.45192307692308,20,42.98153846153847,18,31.922307692307697,20
