,clube,xGA_geral
0,Flamengo,0.9197933537156798
1,Atlético-MG,0.9551387605821816
2,Palmeiras,1.014293074901612
3,Fortaleza,1.0689045668921144
4,Corinthians,1.0750539106805237
5,Fluminense,1.0937629542610396
6,Internacional,1.1942427663008606
7,São Paulo,1.240539149408614
8,Ceará,1.2494654104855867
9,Cuiabá,1.254993119233442
10,Bragantino,1.3191731496692722
11,Coritiba,1.3241422029733174
12,Atlético-GO,1.3472309077166198
13,Santos,1.3942815833068247
14,Botafogo,1.4037358996800613
15,Athletico-PR,1.411505161225409
16,Juventude,1.417501095144772
17,América-MG,1.4656671229091476
18,Avaí,1.5529430208406452
19,Goiás,1.7750774926412989
