,clube,xGA_geral
0,Atlético-MG,0.8673638154991018
1,Palmeiras,1.023802309223786
2,Flamengo,1.034022859169778
3,Fortaleza,1.0344800032034118
4,Corinthians,1.1262143823924122
5,Internacional,1.139348353233513
6,São Paulo,1.1585109595868783
7,Fluminense,1.1605012130470402
8,Bragantino,1.226959347858993
9,Ceará,1.2427635026708903
10,Coritiba,1.2565337832727503
11,Atlético-GO,1.2927213628350773
12,América-MG,1.3019654529397606
13,Santos,1.307367046536823
14,Botafogo,1.3382583651549016
15,Cuiabá,1.358466014744173
16,Athletico-PR,1.372289809528253
17,Avaí,1.3791604453193202
18,Juventude,1.380062681370099
19,Goiás,1.6841621534076774
