,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Ceará,Avaí,1.46,4.25,7.54,68.4931506849315,13.262599469496022,23.52941176470588
1,Bragantino,Fortaleza,1.81,3.47,4.64,55.24861878453039,21.551724137931036,28.818443804034583
2,Goiás,Fluminense,3.52,3.26,2.15,28.40909090909091,46.51162790697674,30.67484662576687
3,Athletico-PR,Atlético-GO,1.88,3.4,4.39,53.191489361702125,22.779043280182236,29.411764705882355
4,Flamengo,Juventude,1.33,5.0,9.81,75.18796992481202,10.19367991845056,20.0
5,Internacional,São Paulo,2.13,3.2,3.73,46.948356807511736,26.80965147453083,31.25
6,Corinthians,Coritiba,1.6,3.78,6.09,62.5,16.420361247947454,26.45502645502646
7,Santos,Botafogo,1.79,3.6,4.67,55.865921787709496,21.413276231263385,27.77777777777778
8,Cuiabá,Atlético-MG,4.46,3.35,1.88,22.421524663677133,53.191489361702125,29.850746268656714
9,América-MG,Palmeiras,4.21,3.58,1.86,23.752969121140143,53.76344086021505,27.932960893854748
10,São Paulo,Goiás,1.49,4.02,7.19,67.11409395973155,13.908205841446453,24.87562189054727
11,Botafogo,Athletico-PR,2.39,3.19,3.07,41.84100418410041,32.57328990228013,31.347962382445143
12,Avaí,Flamengo,4.12,3.76,1.82,24.271844660194176,54.94505494505494,26.595744680851062
13,Juventude,Ceará,2.56,3.02,2.97,39.0625,33.67003367003367,33.11258278145696
14,Fluminense,Bragantino,2.02,3.44,3.66,49.504950495049506,27.322404371584696,29.069767441860467
15,Palmeiras,Internacional,1.53,4.19,6.05,65.359477124183,16.528925619834713,23.86634844868735
16,Atlético-GO,América-MG,1.94,3.33,4.09,51.54639175257733,24.44987775061125,30.03003003003003
17,Atlético-MG,Corinthians,1.58,3.76,6.27,63.291139240506325,15.94896331738437,26.595744680851062
18,Fortaleza,Santos,2.0,3.26,3.96,50.0,25.252525252525253,30.67484662576687
