,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,80.56375,1,75.98249999999999,2,85.14500000000001,1
1,Atlético-MG,66.39375000000001,2,72.4625,4,60.325,3
2,Coritiba,65.53208333333332,3,90.72666666666665,1,40.3375,14
3,Corinthians,65.28083333333333,4,67.45666666666666,7,63.105000000000004,2
4,Flamengo,60.65333333333333,5,71.92666666666666,5,49.379999999999995,7
5,Santos,58.596250000000005,6,75.19250000000001,3,42.0,11
6,São Paulo,56.34125,7,71.2,6,41.4825,12
7,Bragantino,53.69,8,62.873333333333335,8,44.50666666666667,9
8,Botafogo,52.53958333333334,9,49.196666666666665,14,55.88250000000001,4
9,Fluminense,51.50583333333333,10,49.85666666666666,13,53.155,5
10,Internacional,48.758750000000006,11,56.580000000000005,11,40.9375,13
11,Avaí,46.4675,12,50.864999999999995,12,42.07,10
12,Athletico-PR,44.36083333333333,13,58.015,10,30.706666666666667,18
13,América-MG,42.73083333333334,14,61.34666666666667,9,24.115000000000002,20
14,Cuiabá,42.49083333333334,15,35.23666666666667,17,49.745000000000005,6
15,Atlético-GO,40.579166666666666,16,48.165,15,32.99333333333333,16
16,Goiás,38.36666666666666,17,44.07333333333333,16,32.66,17
17,Ceará,38.138333333333335,18,31.76666666666667,19,44.51,8
18,Juventude,34.5275,19,34.145,18,34.91,15
19,Fortaleza,29.49,20,31.16333333333333,20,27.816666666666666,19
