,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Ceará,38.0,Juventude,1.5629221764855936,0.9190746407016404,52.05,22.53,25.41,31.41,12.63,8.41,39.82,21.04,60.86
1,Goiás,38.0,São Paulo,1.216283247227171,1.1629710850562727,37.95,34.38,27.68,22.29,20.03,8.88,31.17,28.910000000000004,60.080000000000005
2,Bragantino,38.0,Fluminense,1.354980549889523,1.1984265438086814,39.97,33.03,27.0,21.7,17.84,7.72,29.419999999999998,25.56,54.98
3,Corinthians,38.0,Atlético-MG,1.234106496278945,1.40656643565978,32.27,41.47,26.27,17.2,21.95,7.13,24.33,29.08,53.41
4,Cuiabá,38.0,Coritiba,1.5499356308611933,1.2534658079447154,43.74,31.09,25.16,22.48,14.7,5.98,28.46,20.68,49.14
5,Athletico-PR,38.0,Botafogo,1.4463883297555078,1.2637838611268009,41.66,32.7,25.64,21.83,16.34,6.62,28.45,22.96,51.41
6,Santos,38.0,Fortaleza,1.4644645853098415,1.2754761478830186,40.77,34.22,25.01,21.38,17.22,6.11,27.49,23.33,50.81999999999999
7,Internacional,38.0,Palmeiras,1.3579645373078701,1.5301538964664996,33.38,41.63,24.98,16.34,19.81,5.83,22.17,25.64,47.81
8,América-MG,38.0,Atlético-GO,1.587321090295637,1.403997089282294,42.07,33.76,24.18,19.54,14.97,5.24,24.78,20.21,44.99
9,Flamengo,38.0,Avaí,1.9799911903295069,1.4993471176258093,49.1,29.68,21.22,19.34,10.6,3.0,22.34,13.6,35.94
