,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Goiás,Atlético-GO,54.751583481771725,25.587594444244573,19.66074660249577,44.342983596486654,21.23759586389432
1,Coritiba,Avaí,53.98935704577346,22.853384486696772,23.156883408613382,32.51824951416597,15.980189102279772
2,Fluminense,Palmeiras,26.88033109607276,27.32487663939549,45.79476841534987,25.39302960348573,37.475085951522985
3,Ceará,Athletico-PR,41.306845253387415,30.239617586506633,28.453533123514312,40.99231572570931,31.99807429445613
4,América-MG,Atlético-MG,38.18867703577301,32.512949850356826,29.298372044528286,43.69437342444562,37.101114280452336
5,São Paulo,Fortaleza,49.62572018446707,28.146896381364282,22.227364383301147,45.02755086749927,26.088362345573756
6,Botafogo,Flamengo,19.773908277759634,26.449307965421394,53.776735502895875,22.78537343082023,45.82043371538659
7,Cuiabá,Santos,24.584829533585147,41.210521219215416,34.20464922290524,50.13696204652302,58.41947473215382
8,Internacional,Juventude,76.82019142208809,16.444123916720283,6.733854711759745,61.96377245627242,11.292817335339507
9,Corinthians,Bragantino,50.488638927916575,27.624171295427054,21.887164459132915,44.59867801174367,25.0696297544968
