,clube,xG_casa,xGA_casa,xG_fora,xGA_fora
1,Flamengo,1.8967033682288637,0.7699986220984065,1.1779037742459033,1.2012162998680704
2,Botafogo,1.1971941254994782,1.081817552525733,1.021235988115863,1.4668247874694291
3,Corinthians,0.8218657011257857,1.213567781269143,0.8990167060112295,1.1724373965962607
4,Fluminense,1.4103176446531023,1.052324994505245,0.7499860651899627,1.497299459327693
5,Palmeiras,1.86214453198848,0.930975797429125,1.9921484191916137,1.146269577242689
6,São Paulo,1.2811122633885266,0.7607751647240095,1.3500503589746518,1.4275094399846562
7,Santos,1.4639741748379327,1.5105549060789507,1.2745699171549774,1.2759918824850494
8,Bragantino,1.0389445200948846,1.195930119029953,1.152351914438315,1.2448912101079777
9,Atlético-MG,1.772177772347912,0.8499530828673972,1.4240732956534854,0.9529024348950071
10,Internacional,1.4751815239468482,1.2140217838360285,1.0918024694719362,1.0052576452337327
11,Juventude,1.1955254691337793,1.0953532796778827,0.7550044986298924,1.3850420854008487
12,Goiás,0.9122045886325391,1.880246855088566,1.1194049192595814,1.637496348574082
13,Athletico-PR,1.2804030234916333,1.292868135012798,0.7849392699343337,1.1540261271699057
14,Coritiba,1.361923849251319,0.9622889932796315,1.3340526081230573,1.559008068643853
15,Avaí,1.4329119400403882,0.9603095128056963,0.8634912859125728,1.4405478089290922
16,América-MG,1.1755513916147688,0.8109671255533417,1.1379407599141602,1.3886490421152766
17,Ceará,1.1448143775308135,1.2976342554001155,1.2922329140622568,1.3336686173400556
18,Fortaleza,1.512263617629173,0.8741055135140299,0.9216037364532681,1.177399451962168
19,Atlético-GO,1.6324529329223758,1.0834623628074456,1.2371006056818805,1.6515140761478984
20,Cuiabá,0.8706140011153005,1.3434121021307999,0.7717453735000119,1.6453623425513495
