,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,São Paulo,Goiás,62.051557011060154,21.376587692760364,16.571210635913026,41.02317245523167,14.29010462064447
1,Botafogo,Athletico-PR,28.256829042463295,28.54537491475382,43.19778530279932,28.368787038953176,38.26350519548464
2,Avaí,Flamengo,25.454339543367222,26.180693473383936,48.36491729077308,22.746209925321338,36.8975909485194
3,Fluminense,Bragantino,51.624905124167576,23.607809985297184,24.76704757911304,32.093581728827054,17.460363069868386
4,Palmeiras,Internacional,66.61404448011012,22.533057513176647,10.852691795241201,58.95378740592747,17.866518327236356
5,Juventude,Ceará,23.293870995084255,31.467694290504134,45.238431417515834,32.478838544300935,48.86821629238098
6,Atlético-MG,Corinthians,47.8544677329671,29.48298279987704,22.662540089795502,46.666187591422876,28.65185801227429
7,Atlético-GO,América-MG,48.075366664773,30.870508942516167,21.05411921264224,51.101338447443624,30.801336931375474
8,Fortaleza,Santos,27.334161793304123,36.455663557712576,36.21017447911528,43.60495416598194,50.75540543000854
9,Coritiba,Cuiabá,47.11905627346443,29.653302574970926,23.227632840770703,46.16806145037973,29.098041172079704
