,clube,xP,ranking_xp
0,Palmeiras,34.13,1
1,Atlético-MG,33.54,2
2,Flamengo,33.26,3
3,Internacional,29.680000000000003,4
4,Fortaleza,29.439999999999998,5
5,Fluminense,29.340000000000003,6
6,Bragantino,26.7,7
7,São Paulo,26.369999999999997,8
8,Atlético-GO,25.95,9
9,Coritiba,25.700000000000003,10
10,Santos,24.860000000000003,11
11,Ceará,24.439999999999998,12
12,Corinthians,24.300000000000004,13
13,América-MG,23.590000000000003,14
14,Juventude,23.55,15
15,Botafogo,23.21,16
16,Cuiabá,22.339999999999996,17
17,Athletico-PR,22.06,18
18,Avaí,20.44,19
19,Goiás,18.21,20
