,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Internacional,Coritiba,1.56,3.89,6.16,64.1025641025641,16.233766233766232,25.70694087403599
1,Athletico-PR,Bragantino,2.49,3.01,3.08,40.16064257028112,32.467532467532465,33.222591362126245
2,Corinthians,Santos,2.06,3.16,3.98,48.54368932038835,25.125628140703515,31.645569620253163
3,Flamengo,América-MG,1.46,4.46,6.91,68.4931506849315,14.47178002894356,22.421524663677133
4,Atlético-MG,Fortaleza,1.51,4.22,6.2,66.22516556291392,16.129032258064516,23.696682464454977
5,Avaí,Palmeiras,5.46,3.82,1.62,18.315018315018314,61.72839506172839,26.17801047120419
6,Botafogo,Fluminense,2.53,3.12,2.9,39.52569169960475,34.48275862068966,32.05128205128205
7,Ceará,Atlético-GO,2.01,3.22,3.97,49.75124378109454,25.188916876574307,31.05590062111801
8,Goiás,Cuiabá,2.1,3.09,3.86,47.61904761904761,25.90673575129534,32.36245954692557
9,São Paulo,Juventude,1.55,3.74,6.89,64.51612903225806,14.513788098693759,26.7379679144385
