,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Goiás,Bragantino,3.46,3.23,2.18
1,São Paulo,Ceará,1.68,3.81,5.05
2,Fortaleza,Juventude,1.76,3.6,4.71
3,Coritiba,Botafogo,2.37,3.23,3.08
4,Santos,Palmeiras,4.01,3.41,1.96
5,Corinthians,América-MG,1.68,3.73,5.15
6,Cuiabá,Athletico-PR,2.6,2.93,2.99
7,Fluminense,Flamengo,3.59,3.37,2.1
8,Atlético-MG,Avaí,1.23,5.79,13.82
9,Internacional,Atlético-GO,1.7,3.56,5.32
