,clube,xG_mean,xG_total
0,Palmeiras,1.9239062178976252,23.08687461477151
1,Atlético-MG,1.6187475047574817,21.043717561847266
2,Atlético-GO,1.538984722014265,20.006801386185444
3,São Paulo,1.4071147378683961,18.292491592289146
4,Coritiba,1.4021822861404158,18.228369719825423
5,Internacional,1.3747076521712738,17.871199478226558
6,Santos,1.3574246542513893,17.64652050526806
7,Flamengo,1.423363271754529,17.080359261054355
8,Fortaleza,1.310155132185287,17.032016718408737
9,Fluminense,1.2471372150302287,16.212783795392966
10,América-MG,1.1680150566095289,15.18419573592388
11,Botafogo,1.165285541107246,15.148712034394201
12,Ceará,1.1627579091563918,15.115852819033098
13,Avaí,1.0623218563562529,13.810184132631296
14,Athletico-PR,1.0473028008667375,13.614936411267589
15,Bragantino,1.102734190408727,13.232810284904728
16,Goiás,0.9693235636892028,12.60120632795964
17,Corinthians,0.9567578196342617,12.437851655245403
19,Cuiabá,0.9332914627649411,12.132789015944239
20,Juventude,0.930378418199169,12.094919436589203
