,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,64,44,15,29,13,1
1,Corinthians,50,33,22,11,8,2
2,Internacional,46,32,22,10,11,3
3,Fluminense,46,33,25,8,9,4
4,Atlético-MG,42,30,22,8,7,5
5,Athletico-PR,42,29,27,2,8,6
6,São Paulo,38,34,25,9,9,7
7,Flamengo,38,33,25,8,5,8
8,Bragantino,37,35,32,3,4,9
9,Botafogo,37,25,28,-3,10,10
10,Santos,35,25,20,5,3,11
11,América-MG,34,18,25,-7,10,12
12,Ceará,33,26,29,-3,4,13
13,Goiás,33,25,29,-4,5,14
14,Coritiba,32,23,33,-10,7,15
15,Avaí,32,23,36,-13,5,16
16,Fortaleza,29,21,28,-7,7,17
17,Cuiabá,28,17,26,-9,5,18
18,Atlético-GO,26,21,35,-14,3,19
19,Juventude,24,18,40,-22,2,20
