,clube,ranking_clube,fase
0,Fluminense,3,86.67
1,Palmeiras,1,73.33
2,Corinthians,4,66.67
3,Flamengo,5,60.0
4,São Paulo,9,53.33
5,Cuiabá,16,53.33
6,Goiás,13,53.33
7,Internacional,2,53.33
8,Fortaleza,11,53.33
9,Botafogo,10,46.67
10,América-MG,7,46.67
11,Coritiba,15,46.67
12,Santos,12,46.67
13,Bragantino,14,40.0
14,Athletico-PR,6,40.0
15,Atlético-MG,8,33.33
16,Atlético-GO,17,33.33
17,Juventude,20,6.67
18,Ceará,18,6.67
19,Avaí,19,6.67
