,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,75.88104166666666,1,76.79875,1,74.96333333333332,1
1,Atlético-MG,63.74208333333334,2,69.17750000000001,4,58.30666666666667,2
2,Corinthians,62.165000000000006,3,70.9557142857143,3,53.374285714285726,5
3,Flamengo,57.44875,4,76.255,2,38.6425,14
4,Fluminense,56.43491071428572,5,65.29125,6,47.57857142857143,8
5,Coritiba,54.72,6,66.095,5,43.345,11
6,Athletico-PR,54.66330357142857,7,54.392857142857146,11,54.93375,3
7,Santos,52.039375,8,58.07875,9,46.0,9
8,Internacional,51.39083333333333,9,53.471666666666664,12,49.31,7
9,Bragantino,51.06214285714286,10,56.72857142857144,10,45.395714285714284,10
10,São Paulo,49.592321428571424,11,63.537142857142854,7,35.6475,18
11,Botafogo,49.15776785714286,12,48.51428571428572,13,49.80125,6
12,Ceará,44.91714285714286,13,35.83857142857143,20,53.99571428571429,4
13,América-MG,43.49633928571428,14,58.27142857142856,8,28.721249999999998,20
14,Atlético-GO,43.441517857142856,15,45.96875,14,40.91428571428572,12
15,Avaí,41.58616071428571,16,45.72374999999999,15,37.448571428571434,15
16,Fortaleza,40.83857142857143,17,45.28857142857142,16,36.38857142857143,17
17,Goiás,38.674821428571434,18,42.18714285714286,17,35.1625,19
18,Cuiabá,38.14541666666666,19,36.96333333333333,19,39.3275,13
19,Juventude,37.965,20,38.72714285714285,18,37.20285714285715,16
