,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'A': 1, 'CA': 2, 'DS': 24, 'FC': 6, 'FD': 3, 'FF': 4, 'FS': 11, 'PC': 1, 'PI': 59, 'SG': 4}",102130,15,275,2,7,3.7,7.91,0.36,6.15,9,,piquerez,Piquerez,Piquerez,Joaquín Piquerez Moreira,https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png,Provável
1,"{'A': 2, 'CA': 3, 'DS': 5, 'FC': 14, 'FD': 4, 'FF': 16, 'FS': 24, 'FT': 2, 'G': 7, 'I': 10, 'PI': 60}",39148,15,282,5,7,9.5,20.86,0.45,7.79,12,,hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png,Provável
2,"{'CA': 1, 'DS': 14, 'FC': 6, 'FD': 1, 'FF': 2, 'FS': 20, 'I': 1, 'PI': 32, 'SG': 7}",91708,15,266,3,7,8.8,13.44,0.8,5.32,11,,nino,Nino,Nino,Marcílio Florêncio Mota Filho,https://s.glbimg.com/es/sde/f/2021/08/19/015b905d655d90af1c6161f318175dee_FORMATO.png,Provável
3,"{'A': 3, 'DS': 12, 'FC': 8, 'FD': 4, 'FF': 10, 'FS': 17, 'FT': 1, 'G': 1, 'I': 1, 'PI': 56, 'PP': 1}",94509,15,275,4,7,3.6,14.97,0.25,5.5,9,,raphael-veiga,Raphael Veiga,R. Veiga,Raphael Cavalcante Veiga,https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png,Provável
4,"{'CA': 2, 'DE': 49, 'FS': 6, 'GS': 19, 'PC': 1, 'SG': 3}",93882,15,280,1,7,0.0,8.93,0.2,3.21,14,,cleiton,Cleiton,Cleiton,Cleiton Schwengber,https://s.glbimg.com/es/sde/f/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png,Provável
5,"{'DE': 45, 'DS': 1, 'GS': 10, 'SG': 7}",42234,15,264,1,7,-1.0,11.16,-1.25,5.48,13,,cassio,Cássio,Cássio,Cássio Roberto Ramos,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,Provável
6,"{'CA': 4, 'DS': 3, 'FC': 7, 'FD': 6, 'FF': 9, 'FS': 10, 'FT': 1, 'G': 5, 'I': 10, 'PI': 51, 'PP': 1}",83257,15,262,5,7,7.4,11.1,-0.01,3.83,13,,gabriel,Gabriel,Gabriel,Gabriel Barbosa Almeida,https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png,Provável
7,"{'A': 4, 'DS': 26, 'FC': 4, 'FD': 4, 'FF': 9, 'FS': 32, 'FT': 2, 'G': 2, 'I': 2, 'PI': 121, 'PS': 1}",87863,15,262,4,7,-0.3,17.81,-2.07,8.06,11,,arrascaeta,Arrascaeta,Arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_220x220.png,Provável
8,{},97341,15,276,6,7,2.22,11.46,-0.43,4.06,15,,rogerio-ceni,Rogério Ceni,R. Ceni,Rogério Ceni,https://s.glbimg.com/es/sde/f/2022/03/01/e6fac1f227854170a80b2cf3234bfa1d_FORMATO.png,Provável
9,"{'CA': 1, 'DE': 48, 'GS': 14, 'SG': 7}",37656,15,266,1,7,7.0,11.43,0.39,4.54,15,,fabio,Fábio,Fábio,Fábio Deivson Lopes Maciel,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,Provável
10,"{'CA': 2, 'DE': 40, 'FS': 2, 'GS': 14, 'SG': 3}",96468,15,285,1,7,0.0,7.05,0.0,3.07,13,,daniel,Daniel,Daniel,Daniel de Sousa Brito,https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png,Provável
11,"{'A': 1, 'CA': 2, 'DS': 11, 'FC': 24, 'FD': 11, 'FF': 17, 'FS': 25, 'G': 9, 'I': 14, 'PI': 78, 'PP': 1}",89840,15,276,5,7,0.9,24.09,-0.47,7.13,15,,calleri,Calleri,Calleri,Jonathan Calleri,https://s.glbimg.com/es/sde/f/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png,Provável
12,"{'A': 3, 'CA': 1, 'DS': 35, 'FC': 11, 'FD': 4, 'FF': 7, 'FS': 1, 'FT': 1, 'G': 2, 'GC': 1, 'I': 2, 'PI': 116, 'PP': 1}",93790,15,373,4,7,9.2,8.64,1.31,4.24,15,,marlon-freitas,Marlon Freitas,M. Freitas,Marlon Rodrigues Freitas,https://s.glbimg.com/es/sde/f/2022/03/03/85a5271ee9f81358e6e4009139db31e5_FORMATO.png,Provável
