,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral
0,Palmeiras,2.0,0.75,2.0,0.5,4.0,1.25,1.25,1.5,2.75
1,São Paulo,2.6666666666666665,0.6666666666666666,1.0,1.5,3.6666666666666665,2.1666666666666665,2.0,-0.5,1.5
2,Corinthians,1.3333333333333333,0.3333333333333333,1.5,1.5,2.833333333333333,1.8333333333333333,1.0,0.0,0.9999999999999998
3,Coritiba,2.3333333333333335,0.6666666666666666,1.0,1.75,3.3333333333333335,2.4166666666666665,1.666666666666667,-0.75,0.916666666666667
4,Santos,2.0,0.5,0.3333333333333333,1.0,2.3333333333333335,1.5,1.5,-0.6666666666666667,0.8333333333333335
5,Atlético-MG,1.5,1.0,1.3333333333333333,1.0,2.833333333333333,2.0,0.5,0.33333333333333326,0.833333333333333
6,Botafogo,1.6666666666666667,1.6666666666666667,1.25,0.75,2.916666666666667,2.416666666666667,0.0,0.5,0.5
7,Bragantino,1.5,0.75,0.6666666666666666,1.0,2.1666666666666665,1.75,0.75,-0.33333333333333337,0.4166666666666665
8,América-MG,2.0,0.6666666666666666,0.5,1.5,2.5,2.1666666666666665,1.3333333333333335,-1.0,0.3333333333333335
9,Flamengo,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,2.333333333333333,2.0,0.6666666666666666,-0.33333333333333326,0.33333333333333304
10,Internacional,1.3333333333333333,1.0,0.75,1.0,2.083333333333333,2.0,0.33333333333333326,-0.25,0.08333333333333304
11,Fluminense,0.6666666666666666,0.6666666666666666,1.0,1.0,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0
12,Cuiabá,0.6666666666666666,0.6666666666666666,1.0,1.5,1.6666666666666665,2.1666666666666665,0.0,-0.5,-0.5
13,Goiás,1.3333333333333333,1.0,0.75,1.75,2.083333333333333,2.75,0.33333333333333326,-1.0,-0.666666666666667
14,Avaí,1.75,1.25,0.3333333333333333,1.6666666666666667,2.0833333333333335,2.916666666666667,0.5,-1.3333333333333335,-0.8333333333333335
15,Atlético-GO,1.0,0.5,0.3333333333333333,2.0,1.3333333333333333,2.5,0.5,-1.6666666666666667,-1.1666666666666667
16,Ceará,1.0,2.0,0.6666666666666666,1.0,1.6666666666666665,3.0,-1.0,-0.33333333333333337,-1.3333333333333335
17,Athletico-PR,1.0,0.5,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.8333333333333335,0.5,-2.0,-1.5000000000000002
18,Juventude,0.5,1.5,1.3333333333333333,2.0,1.8333333333333333,3.5,-1.0,-0.6666666666666667,-1.6666666666666667
19,Fortaleza,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,1.0,2.666666666666667,-0.6666666666666667,-1.0,-1.666666666666667
