,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,71.71857142857141,1,75.63785714285713,2,67.7992857142857,1
1,Flamengo,62.76323076923077,2,81.92846153846155,1,43.598000000000006,10
2,Atlético-MG,61.43324175824176,3,63.08571428571429,8,59.78076923076923,2
3,Internacional,59.789642857142866,4,69.9814285714286,3,49.59785714285714,4
4,Corinthians,57.61371794871795,5,68.43666666666667,4,46.79076923076923,6
5,Fluminense,53.89047619047619,6,67.84666666666668,5,39.934285714285714,14
6,Athletico-PR,52.61730952380952,7,59.12928571428571,10,46.10533333333333,7
7,Bragantino,52.45304945054946,8,59.24538461538462,9,45.660714285714285,9
8,Santos,52.010357142857146,9,63.605,7,40.41571428571429,13
9,Fortaleza,51.69123076923077,10,53.95846153846154,13,49.42399999999999,5
10,Coritiba,51.16866666666667,11,63.784000000000006,6,38.55333333333333,16
11,São Paulo,50.58337912087913,12,57.72461538461539,11,43.44214285714287,11
12,Botafogo,49.436857142857136,13,48.34799999999999,14,50.52571428571428,3
13,América-MG,48.05964285714286,14,57.179285714285705,12,38.94000000000001,15
14,Goiás,43.25259523809524,15,44.087333333333326,16,42.417857142857144,12
15,Ceará,41.94931318681319,16,38.20785714285715,20,45.690769230769234,8
16,Cuiabá,41.4658717948718,17,48.34307692307693,15,34.58866666666667,19
17,Atlético-GO,39.398785714285715,18,41.17357142857143,19,37.624,17
18,Avaí,39.0835,19,42.912,18,35.255,18
19,Juventude,36.28710256410257,20,42.98153846153847,17,29.59266666666667,20
