,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Atlético-GO,Coritiba,2.2,3.24,3.41
1,Flamengo,Goiás,1.2,6.49,14.98
2,Santos,Ceará,2.03,3.28,3.86
3,Juventude,Palmeiras,4.64,3.64,1.76
4,América-MG,Botafogo,2.2,3.22,3.43
5,Cuiabá,Internacional,2.88,3.19,2.52
6,Corinthians,São Paulo,2.24,3.16,3.47
7,Fortaleza,Fluminense,2.2,3.15,3.58
8,Athletico-PR,Avaí,1.64,3.76,5.54
