,clube,xGA_geral
0,Atlético-MG,0.9123326291677809
1,Flamengo,0.9974287871173786
2,Fortaleza,1.0144914338730695
3,Palmeiras,1.0402060244774265
4,Bragantino,1.129860131811676
5,Internacional,1.1590238533992048
6,São Paulo,1.1820973605303702
7,Corinthians,1.1991869776547475
8,Fluminense,1.2266164313208008
9,Ceará,1.2829608468850946
10,Botafogo,1.3300578534401954
11,Atlético-GO,1.3303427390589289
12,Cuiabá,1.3333805877894378
13,Santos,1.3405846692225938
14,Juventude,1.347404143710388
15,América-MG,1.349701066718071
16,Coritiba,1.4121096063113532
17,Athletico-PR,1.4129464835300616
18,Avaí,1.5726732854750205
19,Goiás,1.658904839787428
