,clube,Goal_diff_geral,xG_diff_geral
2,Flamengo,-0.05714285714285716,0.5214873318864321
4,Fortaleza,-0.42499999999999993,0.2333027386722284
6,Coritiba,-0.20238095238095233,0.13840340514036664
7,Atlético-GO,-0.2142857142857142,0.1367521182265694
8,América-MG,-0.1785714285714286,0.03235822108599784
