,clube,xG_total,xGA_total,xG_saldo
0,Palmeiras,47.41008253249294,27.971846453537026,19.438236078955917
1,Flamengo,46.286438409690625,27.024755988914855,19.26168242077577
2,Atlético-MG,42.84939372564233,25.275826111508945,17.573567614133385
3,Internacional,43.51769899511176,32.26830812168285,11.249390873428908
4,Fluminense,38.19860287454718,31.973341176132685,6.225261698414492
5,São Paulo,39.10349961440981,33.10010882019235,6.0033907942174665
6,Fortaleza,37.50448186454996,34.41758298883981,3.0868988757101476
7,Bragantino,39.4107136160691,36.734853011556694,2.6758606045124083
8,Corinthians,34.11276416459415,32.51192918948729,1.6008349751068565
9,América-MG,40.68021369434865,39.56802056271176,1.112193131636893
10,Atlético-GO,38.90788467565325,42.07875694014223,-3.1708722644889775
11,Ceará,34.15661358397516,37.56784971107359,-3.4112361270984337
12,Cuiabá,30.6439245133404,35.35845202559763,-4.714527512257227
13,Santos,37.19898313932243,42.385614445428885,-5.186631306106456
14,Coritiba,35.49706727111343,41.07128800171445,-5.57422073060102
15,Botafogo,34.42374333393174,40.18154985429943,-5.757806520367694
16,Athletico-PR,32.36940289082648,43.14246175200905,-10.77305886118257
17,Avaí,32.06644469682204,42.98421783458875,-10.917773137766709
18,Juventude,30.693890696607824,46.05643877190382,-15.362548075295997
19,Goiás,27.85748731984925,51.216129851576426,-23.358642531727178
