,clube,xP,ranking_xp
0,Flamengo,36.92,1
1,Palmeiras,36.72,2
2,Atlético-MG,35.72,3
3,Internacional,32.410000000000004,4
4,Fluminense,30.560000000000002,5
5,São Paulo,29.689999999999998,6
6,Bragantino,27.94,7
7,Fortaleza,27.679999999999996,8
8,América-MG,27.139999999999997,9
9,Corinthians,26.83,10
10,Atlético-GO,24.58,11
11,Botafogo,24.32,12
12,Santos,23.930000000000003,13
13,Cuiabá,23.92,14
14,Coritiba,23.639999999999997,15
15,Ceará,23.25,16
16,Athletico-PR,21.290000000000003,17
17,Avaí,20.700000000000003,18
18,Juventude,19.53,19
19,Goiás,15.99,20
