,clube,xG_total,xGA_total,xG_saldo
0,Flamengo,40.93838488916414,22.30344203760815,18.63494285155599
1,Palmeiras,40.04425376141778,25.846318762446213,14.197934998971565
2,Atlético-MG,37.67024571106402,23.64941856974738,14.02082714131664
3,Internacional,37.19502433396383,28.167725501369944,9.027298832593885
4,Fluminense,32.725870955440804,26.975605287544376,5.750265667896429
5,Bragantino,35.429765167337,30.621466553513287,4.808298613823716
6,São Paulo,34.202355992140895,30.366450625418175,3.83590536672272
7,Fortaleza,30.830745180119592,27.087059064205448,3.7436861159141444
8,Cuiabá,27.42841300955085,28.570191104806746,-1.1417780952558942
9,Corinthians,27.568691499977334,28.93135193964691,-1.3626604396695754
10,Atlético-GO,31.596492630176854,33.35855170587484,-1.7620590756979837
11,América-MG,30.804849485329342,32.67041785812857,-1.8655683727992312
12,Ceará,29.7925501346723,32.56030718162464,-2.7677570469523367
13,Coritiba,29.34742940382354,32.94638865595235,-3.5989592521288074
14,Botafogo,29.868062807889725,34.062187255269336,-4.194124447379611
15,Santos,30.053748023119628,35.86245387437364,-5.808705851254015
16,Juventude,25.386143604709787,36.65546153319863,-11.269317928488846
17,Athletico-PR,25.701454308871238,38.56327522587369,-12.86182091700245
18,Avaí,25.754681755037737,39.35719212242877,-13.602510367391034
19,Goiás,25.913096955460837,39.69699475023615,-13.783897794775314
