,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Ceará,30.0,Goiás,1.5545044056154391,1.0465024444627242,48.69,25.53,25.79,27.46,13.72,7.63,35.09,21.35,56.440000000000005
1,Athletico-PR,30.0,Fortaleza,1.3197179128057233,1.187460275938394,39.5,33.49,27.01,22.06,18.64,8.22,30.28,26.86,57.14
2,Bragantino,30.0,Cuiabá,1.453800065580455,1.1908749232945113,42.94,30.69,26.38,22.86,16.01,7.29,30.15,23.3,53.45
3,Avaí,30.0,Botafogo,1.3898625075299258,1.195730789723078,41.73,32.12,26.15,22.73,16.95,7.41,30.14,24.36,54.5
4,Juventude,30.0,Corinthians,1.3465788250924582,1.247975350197248,39.31,34.85,25.84,21.53,18.13,7.18,28.71,25.31,54.019999999999996
5,Atlético-GO,30.0,Fluminense,1.4544279624897485,1.2729820924316728,41.6,32.62,25.77,21.56,16.2,6.42,27.979999999999997,22.619999999999997,50.599999999999994
6,Santos,30.0,Atlético-MG,1.282623076323472,1.4685279783728564,33.81,41.02,25.17,17.15,21.07,6.32,23.47,27.39,50.86
7,América-MG,30.0,São Paulo,1.5303379740068381,1.5021214453180967,38.22,37.59,24.19,17.32,16.7,4.66,21.98,21.36,43.34
8,Flamengo,30.0,Internacional,1.6323798815579347,1.7157805298492355,36.49,40.26,23.25,14.38,15.88,3.46,17.84,19.34,37.18
9,Palmeiras,30.0,Coritiba,1.9356906663337958,1.6716837461537115,44.88,34.03,21.09,16.29,11.4,2.63,18.919999999999998,14.030000000000001,32.95
