,clube,ranking_clube,fase
0,Athletico-PR,2,73.33
1,Atlético-MG,3,73.33
2,Palmeiras,1,66.67
3,Internacional,5,66.67
4,Fluminense,6,66.67
5,Botafogo,9,60.0
6,Flamengo,8,60.0
7,Corinthians,4,53.33
8,Avaí,11,46.67
9,Atlético-GO,16,46.67
10,São Paulo,7,46.67
11,Santos,10,40.0
12,Bragantino,14,33.33
13,Ceará,15,33.33
14,Cuiabá,18,33.33
15,Fortaleza,20,26.67
16,Goiás,17,26.67
17,América-MG,13,26.67
18,Coritiba,12,20.0
19,Juventude,19,6.67
