,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,51,35,11,24,5,1
1,Corinthians,42,26,17,9,5,2
2,Fluminense,37,25,20,5,5,3
3,Internacional,35,26,19,7,5,4
4,Atlético-MG,35,25,19,6,5,5
5,Athletico-PR,34,23,22,1,5,6
6,Flamengo,33,24,17,7,5,7
7,Bragantino,33,30,24,6,5,8
8,Santos,32,21,14,7,5,9
9,São Paulo,29,26,23,3,5,10
10,Ceará,29,22,22,0,5,11
11,Goiás,28,21,24,-3,5,12
12,Botafogo,27,18,24,-6,5,13
13,Avaí,27,19,28,-9,5,14
14,Coritiba,25,20,29,-9,5,15
15,América-MG,24,12,22,-10,5,16
16,Cuiabá,23,12,19,-7,5,17
17,Atlético-GO,23,17,26,-9,5,18
18,Fortaleza,22,14,20,-6,5,19
19,Juventude,22,15,30,-15,5,20
