,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,São Paulo,28.0,Avaí,1.6198685667609043,1.1666595132471993,48.09,27.18,24.73,25.01,13.54,6.32,31.330000000000002,19.86,51.19
1,Corinthians,28.0,Atlético-GO,1.4413390569101112,1.1912013149975142,43.19,31.11,25.7,23.36,16.9,7.13,30.49,24.029999999999998,54.519999999999996
2,Coritiba,28.0,Ceará,1.3574618740674038,1.2017388637629436,40.49,32.65,26.86,22.59,17.85,7.83,30.42,25.68,56.1
3,Goiás,28.0,Botafogo,1.3978127934945836,1.1957722303870535,41.02,32.73,26.25,22.66,17.74,7.51,30.17,25.25,55.42
4,Fluminense,28.0,Juventude,1.8141790661553088,1.2021297264423434,51.93,25.45,22.62,24.86,11.73,4.89,29.75,16.62,46.370000000000005
5,Cuiabá,28.0,América-MG,1.4532146400334596,1.212927693435367,42.3,32.05,25.65,22.39,16.38,7.09,29.48,23.47,52.95
6,Santos,28.0,Athletico-PR,1.575233184490144,1.2437930381355207,44.96,30.16,24.88,22.55,14.72,5.89,28.44,20.61,49.05
7,Fortaleza,28.0,Flamengo,1.312753482648233,1.4808018596848767,33.51,41.08,25.42,16.55,20.89,6.45,23.0,27.34,50.34
8,Atlético-MG,28.0,Palmeiras,1.4012794006170912,1.5626684729667146,33.68,41.72,24.61,15.32,19.79,5.47,20.79,25.259999999999998,46.05
9,Internacional,28.0,Bragantino,1.6479815234070294,1.4420023020902626,42.56,33.7,23.74,19.25,14.71,4.62,23.87,19.330000000000002,43.2
