,clube,ranking_clube,fase
0,Corinthians,4,86.67
1,Flamengo,3,73.33
2,Atlético-GO,17,73.33
3,Internacional,2,73.33
4,Fortaleza,10,73.33
5,São Paulo,8,66.67
6,Palmeiras,1,60.0
7,Atlético-MG,7,53.33
8,Santos,12,46.67
9,Botafogo,11,46.67
10,Bragantino,13,40.0
11,América-MG,9,40.0
12,Athletico-PR,6,33.33
13,Goiás,14,26.67
14,Fluminense,5,26.67
15,Coritiba,15,26.67
16,Ceará,16,20.0
17,Juventude,20,13.33
18,Cuiabá,18,6.67
19,Avaí,19,0.0
