,clube,P
0,Palmeiras,69.623641871502
1,Corinthians,63.215682192553295
2,São Paulo,58.915271139943805
3,Athletico-PR,58.66739828187206
4,Internacional,57.52747633130749
5,Atlético-MG,56.62493034021922
6,Flamengo,55.37131270831768
7,Santos,53.67630100341212
8,Fluminense,52.37406602587403
9,Bragantino,51.13135999054797
10,Ceará,48.249617487932206
11,Botafogo,47.058515700756054
12,Coritiba,46.4464260962515
13,Goiás,46.18101103411145
14,Fortaleza,43.23925571380077
15,Atlético-GO,42.04606462895194
16,Cuiabá,39.31354849317423
17,América-MG,38.449695515852056
18,Juventude,36.85581674333155
19,Avaí,36.63844645346923
