,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Bragantino,Atlético-MG,3.42,3.23,2.23
1,Ceará,Flamengo,3.53,3.47,2.08
2,Palmeiras,Bragantino,1.59,4.04,5.78
3,Atlético-MG,Atlético-GO,1.29,5.55,10.4
4,Internacional,Corinthians,2.24,3.19,3.45
5,Fluminense,Athletico-PR,2.14,3.22,3.64
6,São Paulo,Cuiabá,1.51,3.99,7.08
7,Coritiba,América-MG,2.22,3.43,3.2
8,Avaí,Juventude,2.43,3.09,3.11
9,Botafogo,Fortaleza,2.18,3.24,3.48
10,Goiás,Santos,2.94,3.16,2.52
