,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,73.4011111111111,1,81.07222222222222,1,65.72999999999999,1
1,Flamengo,61.02933823529412,2,77.98750000000001,2,44.071176470588235,11
2,Internacional,59.41756944444445,3,69.58625,3,49.24888888888889,4
3,Atlético-MG,59.134044117647065,4,62.4275,6,55.84058823529413,2
4,Corinthians,56.627431372549026,5,65.15352941176471,4,48.101333333333336,5
5,Fluminense,55.70970588235295,6,63.92000000000001,5,47.49941176470588,7
6,Fortaleza,52.056493055555556,7,56.386875,10,47.72611111111111,6
7,Santos,51.41773897058823,8,58.662352941176465,8,44.173125000000006,10
8,Athletico-PR,51.39382352941176,9,57.72999999999999,9,45.05764705882353,9
9,Coritiba,50.79738970588235,10,61.59352941176471,7,40.00125,16
10,Bragantino,49.727444852941176,11,56.333125,11,43.12176470588235,13
11,Botafogo,49.18553921568626,12,46.64166666666666,15,51.729411764705866,3
12,São Paulo,49.09077205882353,13,52.37625,13,45.80529411764706,8
13,América-MG,49.00566993464052,14,55.72722222222222,12,42.28411764705883,15
14,Goiás,44.16083333333333,15,45.300000000000004,16,43.02166666666666,14
15,Cuiabá,42.417361111111106,16,48.217499999999994,14,36.617222222222225,17
16,Ceará,40.957499999999996,17,38.006875,20,43.908125,12
17,Atlético-GO,39.61132352941176,18,42.945,17,36.27764705882353,18
18,Avaí,36.81855555555555,19,40.651111111111106,19,32.986,19
19,Juventude,36.08487132352941,20,41.515625,18,30.654117647058825,20
