,clube,xGA_geral
0,Atlético-MG,0.8847891525023692
1,Flamengo,0.950348141024475
2,Palmeiras,0.9838233335455435
3,Fluminense,1.1047658805593144
4,Internacional,1.1160401205048416
5,Fortaleza,1.1701731983148833
6,Corinthians,1.1719821722103025
7,São Paulo,1.1984740828533331
8,Cuiabá,1.2249272392482247
9,Bragantino,1.276765197355234
10,Ceará,1.3158119333575709
11,América-MG,1.3628291774591879
12,Atlético-GO,1.4164955472393164
13,Botafogo,1.4317430801115143
14,Athletico-PR,1.4363203544857943
15,Coritiba,1.4619610136399197
16,Santos,1.4880220122313843
17,Avaí,1.5309465907165811
18,Juventude,1.53545241683958
19,Goiás,1.7750667822738282
