,clube,xGA_geral
0,Flamengo,0.8839343264259389
1,Atlético-MG,0.911587431100715
2,Palmeiras,0.9859242197094016
3,Corinthians,1.1161939780731414
4,Fluminense,1.1250183614122822
5,Internacional,1.128681435714278
6,Fortaleza,1.1624263623162319
7,Cuiabá,1.203436493982203
8,São Paulo,1.2315427402005232
9,Ceará,1.3281903031942757
10,Bragantino,1.3482062488707658
11,América-MG,1.3861298874515242
12,Botafogo,1.3982569381161731
13,Atlético-GO,1.4183207574051626
14,Coritiba,1.4580312280859977
15,Santos,1.471154598529042
16,Juventude,1.5026405164338692
17,Athletico-PR,1.525273110730823
18,Avaí,1.5352102972570068
19,Goiás,1.7901922771951317
