,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,G_per_match,xG_per_shot,shots_per_goal,clube,eficiência
0,94583,Pedro,262,3.3071918202427035,21,9,2,0.36746575780474483,0.2222222222222222,0.15748532477346208,10.5,Flamengo,-1.3071918202427035
1,104666,Moisés,356,4.016422358849019,34,15,3,0.26776149058993465,0.2,0.11813006937791233,11.333333333333334,Fortaleza,-1.0164223588490193
2,77544,Jorginho,373,3.9575097924443634,30,13,3,0.30442383018802793,0.23076923076923078,0.13191699308147878,10.0,Atlético-GO,-0.9575097924443634
3,87999,Gustavo Scarpa,275,3.6181209462762633,58,15,3,0.24120806308508422,0.2,0.062381395625452814,19.333333333333332,Palmeiras,-0.6181209462762633
4,68920,Dudu,275,3.572927634751399,27,13,3,0.27484058728856914,0.23076923076923078,0.1323306531389407,9.0,Palmeiras,-0.572927634751399
5,83257,Gabriel,262,4.7957746077412775,35,13,5,0.36890573905702134,0.38461538461538464,0.13702213164975077,7.0,Flamengo,0.2042253922587225
6,82766,Wellington Rato,373,3.6913558398580717,44,13,4,0.2839504492198517,0.3076923076923077,0.08389445090586527,11.0,Atlético-GO,0.3086441601419283
7,109497,Marcos Leonardo,277,5.610097165324077,43,15,6,0.3740064776882718,0.4,0.13046737593776922,7.166666666666667,Santos,0.38990283467592324
8,81161,Léo Baptistão ,277,3.5471588881394296,31,13,4,0.2728583760107254,0.3076923076923077,0.11442448026256224,7.75,Santos,0.4528411118605704
9,80196,Yago Pikachu,356,3.436415898901585,31,14,4,0.24545827849297036,0.2857142857142857,0.11085212577101887,7.75,Fortaleza,0.5635841010984151
10,101715,Alerrandro,280,4.063950435508813,32,9,5,0.4515500483898681,0.5555555555555556,0.1269984511096504,6.4,Bragantino,0.9360495644911868
11,108422,Erison,263,4.148771676038045,38,15,6,0.2765847784025363,0.4,0.10917820200100119,6.333333333333333,Botafogo,1.851228323961955
12,80287,Luciano,276,3.52710433401987,29,13,6,0.2713157180015285,0.46153846153846156,0.12162428737999552,4.833333333333333,São Paulo,2.47289566598013
13,91607,Rony,275,4.519563515085741,35,14,7,0.3228259653632672,0.5,0.1291303861453069,5.0,Palmeiras,2.480436484914259
14,39148,Hulk,282,4.421737473653286,53,14,7,0.3158383909752347,0.5,0.08342900893685445,7.571428571428571,Atlético-MG,2.5782625263467143
15,90031,Mendoza,354,4.146085519460539,38,13,7,0.31892965534311835,0.5384615384615384,0.10910751367001419,5.428571428571429,Ceará,2.853914480539461
16,89840,Calleri,276,5.963965941632966,44,15,9,0.39759772944219773,0.6,0.13554468049165833,4.888888888888889,São Paulo,3.0360340583670338
17,100762,Bissoli,314,4.670827683268275,36,15,8,0.311388512217885,0.5333333333333333,0.12974521342411874,4.5,Avaí,3.329172316731725
18,98225,Pedro Raul,290,4.11963342393218,30,11,8,0.37451212944838,0.7272727272727273,0.13732111413107267,3.75,Goiás,3.8803665760678197
19,79631,Cano,266,6.101979480378598,51,15,10,0.40679863202523986,0.6666666666666666,0.11964665647801173,5.1,Fluminense,3.8980205196214017
