,clube,xP,ranking_xp
0,Palmeiras,36.67,1
1,Flamengo,35.83,2
2,Atlético-MG,35.01,3
3,Fluminense,32.19,4
4,Internacional,31.79,5
5,São Paulo,30.759999999999998,6
6,Fortaleza,28.11,7
7,Bragantino,27.52,8
8,América-MG,26.86,9
9,Corinthians,26.499999999999996,10
10,Atlético-GO,25.43,11
11,Coritiba,24.47,12
12,Ceará,24.18,13
13,Santos,23.450000000000003,14
14,Botafogo,23.32,15
15,Cuiabá,23.049999999999997,16
16,Athletico-PR,21.009999999999998,17
17,Avaí,20.37,18
18,Juventude,19.75,19
19,Goiás,16.04,20
