,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Internacional,72.47333333333331,1,85.855,2,49.98166666666666,9
1,Botafogo,62.326666666666675,2,57.56166666666667,13,52.72833333333333,5
2,América-MG,61.28833333333333,3,61.19833333333333,10,50.61833333333332,8
3,Flamengo,61.12833333333334,4,87.27499999999999,1,51.671666666666674,7
4,Fortaleza,60.835,5,67.45500000000001,4,58.379999999999995,1
5,Atlético-MG,60.19999999999999,6,58.654999999999994,12,57.32666666666666,2
6,São Paulo,58.035,7,50.943333333333335,16,53.835,4
7,Palmeiras,52.836666666666666,8,74.08999999999999,3,56.58166666666667,3
8,Coritiba,49.57,9,59.80666666666667,11,33.76166666666666,16
9,Goiás,46.27333333333333,10,52.61833333333334,15,52.09166666666666,6
10,Santos,45.33833333333333,11,65.93666666666667,5,42.33833333333333,12
11,Cuiabá,44.835,12,56.81666666666666,14,30.198333333333334,19
12,Athletico-PR,44.565,13,61.309999999999995,9,38.51,14
13,Corinthians,43.471666666666664,14,62.12666666666667,8,39.11,13
14,Fluminense,41.87166666666666,15,64.01666666666667,6,35.56333333333333,15
15,Ceará,39.55833333333334,16,42.903333333333336,18,43.20166666666666,11
16,Juventude,34.708333333333336,17,47.945,17,25.761666666666667,20
17,Avaí,34.696666666666665,18,41.915,19,31.22,18
18,Bragantino,34.36333333333333,19,62.18166666666665,7,46.32500000000001,10
19,Atlético-GO,34.30833333333333,20,34.78,20,32.01833333333334,17
