,clube,P
0,Palmeiras,72.61396871417645
1,Corinthians,63.02404719488795
2,Fluminense,57.14718269082961
3,Flamengo,56.11085771438319
4,Athletico-PR,55.81441923158425
5,Atlético-MG,55.39863127274309
6,Internacional,54.74874514497921
7,Santos,52.09300340045979
8,Bragantino,51.78630395646595
9,São Paulo,51.750147436840706
10,Ceará,46.36968092520731
11,Botafogo,45.47984461489681
12,Goiás,44.832006308205244
13,Coritiba,42.107463301177674
14,Fortaleza,40.25093973268984
15,Avaí,38.752266517492174
16,Atlético-GO,38.674018816956846
17,Cuiabá,37.15504036147015
18,América-MG,36.651414951483915
19,Juventude,35.82289571010211
