,clube,ranking_clube,fase
0,Palmeiras,1,86.67
1,Botafogo,9,80.0
2,Internacional,2,73.33
3,Fortaleza,10,73.33
4,Corinthians,3,66.67
5,São Paulo,12,66.67
6,Coritiba,15,60.0
7,América-MG,8,60.0
8,Atlético-MG,7,46.67
9,Flamengo,4,46.67
10,Atlético-GO,18,46.67
11,Fluminense,5,40.0
12,Santos,11,40.0
13,Bragantino,13,33.33
14,Athletico-PR,6,33.33
15,Cuiabá,17,26.67
16,Avaí,19,20.0
17,Juventude,20,13.33
18,Ceará,16,13.33
19,Goiás,14,13.33
