,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Fortaleza,79.87333333333332,1,72.255,4,61.43499999999998,1
1,Flamengo,78.71000000000001,2,105.09166666666665,1,51.32666666666666,5
2,Internacional,71.81833333333334,3,81.36333333333334,2,51.6,4
3,Palmeiras,66.36333333333333,4,70.63499999999999,5,60.853333333333325,2
4,América-MG,63.473333333333336,5,49.03666666666667,16,47.85499999999999,8
5,Santos,56.76166666666666,6,65.04666666666667,7,45.599999999999994,11
6,Goiás,55.38166666666666,7,56.05500000000001,13,49.018333333333324,6
7,Atlético-MG,54.218333333333334,8,58.654999999999994,11,60.03666666666666,3
8,Fluminense,50.21833333333333,9,72.49,3,44.38166666666666,13
9,Corinthians,48.981666666666676,10,63.52666666666667,8,32.27333333333333,18
10,Botafogo,48.81666666666666,11,41.87000000000001,19,47.22,9
11,Coritiba,48.64166666666667,12,56.751666666666665,12,40.85166666666667,15
12,São Paulo,46.288333333333334,13,54.14333333333334,14,41.12666666666667,14
13,Athletico-PR,44.69166666666667,14,59.326666666666675,10,48.400000000000006,7
14,Cuiabá,42.945,15,61.49,9,29.253333333333334,20
15,Ceará,42.031666666666666,16,41.903333333333336,18,44.783333333333324,12
16,Bragantino,39.27166666666667,17,67.12833333333333,6,46.324999999999996,10
17,Atlético-GO,38.29,18,42.98,17,34.69166666666667,16
18,Juventude,36.92666666666666,19,49.145,15,30.834999999999997,19
19,Avaí,34.03666666666667,20,39.836666666666666,20,34.32833333333334,17
