,atleta_id,apelido,clube_id,xG,clube
0,79631,Cano,266,8.751548309773225,Fluminense
1,89840,Calleri,276,7.759119158069035,São Paulo
2,109497,Marcos Leonardo,277,7.568430900438824,Santos
3,98225,Pedro Raul,290,6.864782055006492,Goiás
4,83257,Gabriel,262,6.72163862022488,Flamengo
5,87242,Carlos de Pena,285,6.148179456157374,Internacional
6,90031,Mendoza,354,5.990310212709232,Ceará
7,89898,Róger Guedes,264,5.8598718800810845,Corinthians
8,39148,Hulk,282,5.781866926488379,Atlético-MG
9,82766,Wellington Rato,373,5.633304447944613,Atlético-GO
10,101254,Alef Manga,294,5.539431054812199,Coritiba
11,108422,Erison,263,5.503802151126258,Botafogo
12,100762,Bissoli,314,5.500593241510085,Avaí
13,104666,Moisés,356,5.497423077961483,Fortaleza
14,80287,Luciano,276,5.425039323758406,São Paulo
15,91607,Rony,275,5.230140337974463,Palmeiras
16,94583,Pedro,262,4.769897197416916,Flamengo
17,87999,Gustavo Scarpa,275,4.662114788708392,Palmeiras
18,101715,Alerrandro,280,4.610345981097214,Bragantino
19,108133,Pitta,286,4.519701830632871,Juventude
20,95799,Artur,280,4.46554601899378,Bragantino
21,87863,Arrascaeta,262,4.379378164284837,Flamengo
22,77544,Jorginho,373,4.314837890290274,Atlético-GO
23,68920,Dudu,275,4.129187880426522,Palmeiras
24,61033,Rodriguinho,1371,4.053973647890604,Cuiabá
25,94509,Raphael Veiga,275,3.819628746207955,Palmeiras
26,71162,Vina,354,3.7722461813523624,Ceará
27,85931,Hyoran,280,3.7657586713720193,Bragantino
28,110193,Lázaro,262,3.711971255489108,Flamengo
29,104530,Igor Paixão,294,3.691906324906357,Coritiba
30,102878,Terans,293,3.6585551394319045,Athletico-PR
31,81161,Léo Baptistão ,277,3.5848435372268006,Santos
32,60825,Felipe Azevedo,327,3.556470128204486,América-MG
33,72583,Pedro Henrique,285,3.484382311687,Internacional
34,70360,Eduardo Sasha,282,3.466945260113859,Atlético-MG
35,53865,Léo Gamalho,294,3.378696120224983,Coritiba
36,96340,Lima,354,3.3563564369917156,Ceará
37,106822,Rodrigo Nestor,276,3.3458047323463576,São Paulo
38,68773,Henrique Almeida,327,3.316751079145087,América-MG
39,80196,Yago Pikachu,356,3.296413298133389,Fortaleza
40,104521,Vinícius Zanocelo,277,3.2269767670126557,Santos
41,114802,Vitor Roque,293,3.2124969481241186,Athletico-PR
42,84674,Lucas Evangelista,280,3.1638593492244937,Bragantino
43,73850,Aloísio,327,3.1324736916546696,América-MG
44,98219,Alemão,285,3.1236220810429276,Internacional
45,84817,Robson,356,3.0078644578899403,Fortaleza
46,109282,Luiz Henrique,266,2.9676815268246,Fluminense
47,100848,Luan Cândido,280,2.958422640476816,Bragantino
48,94916,Nacho Fernández,282,2.9486957985654794,Atlético-MG
49,105647,Maurício,285,2.935272347279727,Internacional
50,77809,William Pottker,314,2.875037240887882,Avaí
51,93478,Wanderson,285,2.8406847334682803,Internacional
52,100079,Zaracho,282,2.741943770990835,Atlético-MG
53,104778,Adrián Martínez,294,2.740688145923277,Coritiba
54,102598,Helinho,280,2.7237992594717486,Bragantino
55,87228,Guilherme Arana,282,2.721722816077899,Atlético-MG
56,51772,Everton Ribeiro,262,2.68935677871262,Flamengo
57,98289,Churín,373,2.6659166621679566,Atlético-GO
58,100103,Pedrinho,327,2.662723490751225,América-MG
59,94263,Dadá Belmonte,290,2.6422384937698014,Goiás
60,101314,Ademir,282,2.5805377744794527,Atlético-MG
61,63289,Edenílson,285,2.5489392738099856,Internacional
62,82455,Zé Rafael,275,2.5371376145859794,Palmeiras
63,106002,Johnny,285,2.5313109335664286,Internacional
64,69141,Ricardo Bueno,286,2.506085664558361,Juventude
65,97321,Alesson,1371,2.4871615309687,Cuiabá
66,79188,Silvio Romero,356,2.4466107409450117,Fortaleza
67,104125,Cléber,354,2.3539456378105514,Ceará
68,83433,Patrick,276,2.352310080600253,São Paulo
69,86485,Keno,282,2.343480475523874,Atlético-MG
70,105770,Rafael Navarro,275,2.3416920649809065,Palmeiras
71,101596,Vitor Gabriel,286,2.338289197034713,Juventude
72,90715,Luiz Fernando ,373,2.3315878688519938,Atlético-GO
73,69138,Pablo,293,2.3174538583665028,Athletico-PR
74,38225,Muriqui,314,2.2660528098068724,Avaí
75,105171,Fabrício,294,2.247312891851325,Coritiba
76,94931,Lucas Fernandes,263,2.2137558043365693,Botafogo
77,107231,Danilo,275,2.2116295651152087,Palmeiras
78,111831,Matheus Martins,266,2.210517717986787,Fluminense
79,98909,Cuello,293,2.20429188544181,Athletico-PR
80,97653,Murilo,275,2.184505050084023,Palmeiras
81,110727,Rubens,282,2.179383079789585,Atlético-MG
82,97810,Erick,354,2.1641134045038246,Ceará
