,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Athletico-PR,25.0,Fluminense,1.2607195487443836,1.0700392262192395,40.24,31.64,28.12,24.18,19.0,9.94,34.12,28.939999999999998,63.059999999999995
1,Corinthians,25.0,Internacional,1.1773118958024291,1.244616466375342,34.41,38.15,27.44,19.48,22.41,9.16,28.64,31.57,60.21
2,Juventude,25.0,Avaí,1.6116297917363402,1.149357829376736,47.82,27.2,24.98,24.98,13.79,6.16,31.14,19.95,51.09
3,Atlético-GO,25.0,Atlético-MG,1.2250423782396838,1.4289734092298905,32.14,41.71,26.16,16.7,22.44,7.11,23.81,29.55,53.36
4,Cuiabá,25.0,São Paulo,1.303096758440594,1.2151225963204522,38.77,34.72,26.52,21.56,19.5,7.65,29.21,27.15,56.36
5,Santos,25.0,Goiás,1.6962897042908125,1.2556199130893477,47.55,28.26,24.19,23.21,12.75,5.16,28.37,17.91,46.28
6,América-MG,25.0,Coritiba,1.4759590687375805,1.3217746045076664,40.77,34.11,25.11,20.34,16.83,6.06,26.4,22.889999999999997,49.28999999999999
7,Bragantino,25.0,Palmeiras,1.3884864156516965,1.5598783601892623,33.22,42.16,24.62,15.65,20.2,5.52,21.17,25.72,46.89
8,Fortaleza,25.0,Botafogo,1.5358677972179586,1.3895737281588756,40.41,35.09,24.51,19.43,16.3,5.47,24.9,21.77,46.67
9,Flamengo,25.0,Ceará,1.76738627263265,1.6921811788106533,40.57,36.7,22.73,15.29,13.65,3.4,18.689999999999998,17.05,35.739999999999995
