,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,São Paulo,Coritiba,1.47,4.32,6.94,68.02721088435374,14.409221902017292,23.148148148148145
1,Bragantino,Athletico-PR,2.06,3.31,3.73,48.54368932038835,26.80965147453083,30.211480362537763
2,América-MG,Flamengo,3.63,3.51,2.04,27.548209366391184,49.01960784313725,28.49002849002849
3,Santos,Corinthians,2.33,3.07,3.37,42.91845493562232,29.673590504451035,32.57328990228013
4,Palmeiras,Avaí,1.17,7.17,16.62,85.47008547008548,6.016847172081829,13.94700139470014
5,Juventude,São Paulo,3.94,3.33,1.97,25.380710659898476,50.76142131979695,30.03003003003003
6,Fluminense,Botafogo,1.73,3.77,4.6,57.80346820809249,21.73913043478261,26.525198938992045
7,Atlético-GO,Ceará,2.28,3.21,3.24,43.85964912280702,30.864197530864196,31.15264797507788
8,Coritiba,Internacional,3.36,3.25,2.18,29.761904761904763,45.87155963302752,30.76923076923077
9,Cuiabá,Goiás,1.87,3.27,4.59,53.475935828877,21.78649237472767,30.58103975535168
10,Fortaleza,Atlético-MG,3.24,3.12,2.31,30.864197530864196,43.290043290043286,32.05128205128205
11,Athletico-PR,Palmeiras,3.98,3.3,1.88,25.125628140703515,53.191489361702125,30.303030303030305
12,Flamengo,Santos,1.57,4.02,5.43,63.69426751592356,18.41620626151013,24.87562189054727
