,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,Ceará,18.0,Avaí,1.6372074731139505,0.9722793192837224,53.29,21.5,25.2,30.29,11.76,7.66
1,Bragantino,18.0,Fortaleza,1.348261181782258,1.3278423532304697,38.02,35.95,26.04,19.66,18.57,6.74
2,Goiás,18.0,Fluminense,1.1159686478053232,0.9865286817930559,38.14,31.79,30.07,25.06,20.5,12.23
3,Athletico-PR,18.0,Atlético-GO,1.461446691997537,1.2054875405172187,43.66,31.12,25.22,23.55,15.9,6.73
4,Flamengo,18.0,Juventude,1.8115422191421273,1.3479392090359048,48.6,28.69,22.71,22.02,12.03,4.18
5,Internacional,18.0,São Paulo,1.504559822033415,1.3994488340709363,39.54,34.8,25.66,18.92,16.18,5.63
6,Corinthians,18.0,Coritiba,1.2400199805912209,1.014298495238132,41.12,30.03,28.84,25.78,18.2,10.42
7,Santos,18.0,Botafogo,1.5503501871426015,1.2634603089492402,44.52,30.75,24.72,22.59,14.93,6.04
8,Cuiabá,18.0,Atlético-MG,1.0296714898309236,1.197611096254123,31.47,39.8,28.73,19.41,25.02,10.66
9,América-MG,18.0,Palmeiras,1.290833932584626,1.598809728820196,31.09,44.46,24.45,14.95,21.63,5.3
